file,n_bar,piano,percussion,organ,guitar,bass,strings,ensemble,brass,reed,pipe,synth-lead,synth-pad,synth-effects,ethnic,percussive,sound-effects,drums,genre,style
9ceb6e6904becc8c2a75fe0c3a37657f.mid,453,0,0,0,1247,6407,1070,4331,2475,1393,790,0,0,0,0,0,0,0,-,-
22a6ad62aebeb0612700f64d02dc18ec.mid,443,0,0,0,0,0,1178,11786,1540,3799,1734,0,0,0,0,0,0,0,-,-
4fb43d0e8e8d263a5c97a797d8343a08.mid,405,7954,5133,0,4696,3553,0,0,0,0,0,0,4383,0,0,0,0,9507,-,-
a595d0ca98ca67de51306436cf23efae.mid,401,0,0,0,0,0,2648,10026,1090,4353,1626,0,0,0,0,0,0,0,-,-
934b2b590e68fb5c6b7ea99b8292af51.mid,400,0,0,0,0,0,0,11299,1119,5059,1610,0,0,0,0,0,0,0,-,-
ec805c27ca27c2ebca36bca0c98e8271.mid,400,0,0,0,0,0,0,11299,1119,5059,1610,0,0,0,0,0,0,0,-,-
621d22889ddbcfc9ce174ce23c347a74.mid,372,11503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
ca23ed2908fff6fd014e4edb2fbaa18c.mid,372,11503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
d2a8ab69be85bd96d2dbacf5a9d09300.mid,371,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,Pop_Rock,Rock_Contemporary
f7c4aa50808a68e0277e2f3f09c27a31.mid,359,0,0,0,2540,2711,0,0,0,2469,0,0,0,0,0,3326,0,0,-,-
a68a558c390d459d83b632a1e06bf283.mid,356,3473,0,0,0,0,8065,2479,0,0,0,0,0,0,0,0,360,569,-,-
6f0007fe3a01cc1968b611c8478b8562.mid,356,11147,0,0,0,1438,717,0,0,0,0,0,0,0,0,0,360,569,-,-
136669086349c72efae44c778463e2c0.mid,353,441,0,0,0,0,760,848,560,581,530,0,0,0,0,0,0,0,-,-
b80e91e95c24bb5272d8bc8c076da6c1.mid,315,0,0,0,0,0,350,9841,1290,2633,1043,0,0,0,0,0,0,798,-,-
0be4a7f21073bf9bb73974c7cce0aef6.mid,307,0,0,0,0,0,0,7850,0,0,0,0,0,0,0,0,0,0,-,-
